Name,Tier,Points,PUUID
redforty#diddy,MASTER,204,7rGY-Vpap-zDeeysn08-yYihFmqW8p8K61C_7lecEiq4eUpFzTjOXEzvRaaJ12RN4X5tJIS200F9aw
PostHorizon#NA1,MASTER,204,RQRSRvkMx1uDl6RCkKe-ikcAMzlSiPbiUZZ-oZv5X_a9xcCGfdjDlSS1BvzsqD_bNeWauVA7QE2GAA
Griffin#Soar,MASTER,204,T9bwEBXUlS9B4_Yf1QlAoUJg1a4jaGKGWuGSPU0mFrA38PJ3S1NVmQeckmXuyt7MsA_F4BV4R9XWkg
xFSuriV#NAzz,MASTER,204,dIChvkLy_QO4yvE6gl4Eltx5lx1ekd1BxKIBlLaoFcOd2lU3JVSeZpE5hVrV9k5OqRvee9hcEvAoBQ
eepy bunny#NA1,MASTER,204,wJG_gD0fNDT0_sp77vbJVg7GIXkeORUhR5AftvngPGKxTmLd4T0WQyx5qp91kjZrunKsU6fJdnlOJA
CREEPÈR#SCDO,MASTER,203,O42wa9XPD2dnvLvhVMJ6mwl7_jbobVRsNSXREUSdhJ03bvSpxjY5NkNE3kxi_rJNLMbopR6csO7Wmg
TheShy#NYF5,MASTER,203,c-K7b2CGdRW7G1Ykq0jiu0D0k92dxQtK0bPsTRXhXWYsTyAFtiOP0kIpxkORcoTso5LCUtcMGpI7Yg
buchiusa#bun,MASTER,203,mqQOd56S3awO3Czmik6sz3IdodUwOYZhExR616YE3ObxefqRRpdXKqRGoR2hlKY0FPAS1n-GvpyzSg
Navir#NA1,MASTER,203,Z1Jp1VWb22kJUTvAdOae4E792Af0rk1BXMkR-Kp24GG0DKpctLzliLNGwlPSwS-noFzptsSRqXFwKQ
cara#nami,MASTER,202,F8-Z2nrXM-LQPKAyCI76u8jaC4vxn1qMshDazD7fAMyIqjd0PTIgxajAopdL1eMjueuDw4_X4J4WdA
Lopacinski#NA1,MASTER,202,S9fTyO0_8I5NKe_C9RitoxIj88VgLNDToxVcQyCmh8slSzaru4uszh0aw4ecKvkvPxv5tLgJPHfNLw
Commoner#TNF,MASTER,202,Z9Gj6iYALajh86brdffOcPiFn1DlC80wd8H6mPFvDOlXNTibxZrWKtYNzwrwZTmPsxIf_2v8ISofmw
Norwegian Wood#Karll,MASTER,202,wkoXUzi6lH0qvoC4xkJ8aDn8Y75jyPDd4VnHh_3XJCteIHTTa5UILx24nSRZ4oz_P8qKUlm4DWmDyA
Melancholy#NA1,MASTER,202,5ZzGikthL5zH5Wvtu2atmgXSRtp12nj_E18mQE-9D1C68xH5_PqX1TjMVPdNTOov3tNNzWouk16pAA
心无杂念#1004,MASTER,202,hmK-AS_Inj36FjoapDsFwAmlgz5piLz58l1X5sw0gWEttJx-LDrUy6mqU_GKt97mvU_fBjVV-9ssHg
Sillody#DEEZ,MASTER,202,lSRIP-nGrpGatVaix6tfM8WaTBEcyBFi7-008up2-hlUn2ImiNW4vPFg9ozrcpI8CJwStwHBKlMecA
Ninjalamb301#NA1,MASTER,202,yhFwI5Q4YL-5yIyIP4gmDmY-MMYze4f9zu7lZclMmZtZzrCHztrQk3R23NECeum3Klmb4acgaG9iZQ
WillQin#NA1,MASTER,202,9ERDbHg8hq1mfkF0RJpVF56eUwpCGmFHk5VsMsLsrsOvWdnjYSmDBQWZZzCanU62Tnm8wl1xNbnszQ
Michael Kaiser#12345,MASTER,202,XvQeNqmIIqB4znrKf7R5HAyLQNHyaUBR1CXQyTT1VxDw0UEx6hGgU0bZ5KujTIzLGjzhYbXycF3JyA
Toothbooth#NA1,MASTER,201,ppRTwokY374IFpZofIPBzTdya5JM2DiUJtNu3pmvHEyiabhQsmbgeTyO6WLcCTYlZWzKhjI0p4RsTg
Scrimm#UW1,MASTER,201,wBRdi6FrWeaA3tmwKDWqSyb7D5EbmArkLNEAgjx-m1xV94C1i1E_5pa_IoU0jfNL5mH5AOQFNtqIcA
RoyalRoy#NA1,MASTER,201,9H_nVegIwhPsIsnvTAeonWqDmIM3ONlgSzO8KA3zcb8jqS_TgCDabeJTtp6uBLUiq5Ki9_zL8KdTWw
BTRBTRBTR#BTR,MASTER,201,bRYA7B7Xh0TzgM55urBn_AsUjqGZ4mTvr3GAWZabxoPibLIuGrI9YGyC_F-s4k7rdCXvywwJkWeGFA
Jay#mochi,MASTER,201,fBHA6X_9EbQlctWvvJb0zNkKnJsp1WuqRhcTpm_MPjO8ytbYSVt4mSfSrafCiOX0XobZb-VTzmaUSw
MunchyTheMonster#LCS,MASTER,201,dWLUksc3de5-Yu88l93CfFR22GHwCFnOfV3j1uJsNGn4ynDlQyWRHSYfdrtueXLmraSgFx1-ChWVFA
KhangYi#151,MASTER,200,slgVQGKswhlJLe_KLZ97l3vtC9BAK3jIegKqOA-xMjCAnongqpGNXCyewInG5cnoKw9cIFl2bUBthw
meditations#xii,MASTER,200,E4a88YrtomI1ldu_mf0Lvf5dq65cUZo3fXF3rHNWoL-zWsJrpDgV4ABtwULrAGKyp9IOyc1rez0hFw
meí dào li#NA1,MASTER,200,87LTuOUcwhwL56NpghkUAXhXV25OIFlY7f8lqFIXVbeR5gaBJNjsM6J2VhuA1iEul4PI5rIVuGkZJw
Sergiodeth#NA1,MASTER,200,BymL43hggqq9O6gx9dOO851_-Ha_uQrVARw9XnBkTKVWjnKuYbZ0Vq_CYgjzYJNJdyMdrt1bcEV-kA
Just 1v9ing#NA1,MASTER,199,IBftxyZNvDht8X3fRPNNaSW5ETcefLr5iU9JcV0RxwX3BmhHBXNl2yKrQHX9hVNXynhpbosCa955vA
wuhan fly head#CN1,MASTER,199,yRVdxBk1zBH4QRQHIFMoWez1JS7I8lDS63jnemNCozH_evS6yl-p25cnCYtXQhDelUlC_exONiv0BQ
WinterHunt#NA1,MASTER,199,NjdNUbXH9KkRWE7JoJLYu4VbObSesTN8agSR-ku6n4BDnisXVOUgLGZKjY6Yz2YkmCQhAbwUgFUYPw
Garrett Meyerson#piggy,MASTER,199,WkGfA7qzjJMBgNujLfel_GULYQW9VqAM0ZJxncARCABfXkDNi7BOp1-MUi8aHGV2M-CzFTLP2zcwXg
安慰菜鸟压力高手#NA666,MASTER,199,mmyULwkorLHuq4Qr1d74OmAEfivsyRjH165kurBshfyB19wb-1MPElbQK7T2I9B_LxghSHlf2gDyDw
raging incel#444,MASTER,199,8qReLa7RDNonxlXJh3k8aZFkiNP0HpQ3ahnKUCZr77qGY9ONKPY7GysKPtEmqkRgWn7UPIOWT6ehEA
Subahk#Melon,MASTER,198,aAz8TII3cypX84-1SqFbZGcsBfmoe5rghSMZoD1z01dzOvWjHjrof4At1L5DKRKFGwCHZAabgz4I-Q
VolticPhantom#Volt,MASTER,198,7PeZ8fkE22KGovSQUbr1Bs2LCsMCYYtby3YGvFUWPOfOxbFO5YPssqJebvjFB1h0m08buIB4uBDuog
Riot Pupperz#Pup,MASTER,198,AS1P0vivcCRDH3STT-TPCvSU4glNO47OMLSlVyDOwdTee__39GF8UaVC5puwWrNl3iOhwuHxbM_kJQ
PATH BOT#JGDIF,MASTER,198,fsvkQUHMjEB9dD12NAEbSn5dqizOkgQ9EXQvqMy6sxVCbYdGrRydNiV27UwlNLNlatB6dNMRsRUp7g
Emiya#YYDS,MASTER,198,oe3t_hJCsJ6Z-4IDBdnhKdVN7M64Dt1uSZP1hnO1m9fp32bQ1lpspnctz2lLm-ufxzwzaY3zLGdg0w
小赛杀气腾腾#你完了,MASTER,198,c2cj74w0qVU-qxIZE3axC1oGpcgjjaLiwdL8BN9RtU3t5MSq5hdR6Z6xWkBc-hwSPDXRJYEKQthtng
gorillajones#FIGHT,MASTER,197,_3KdYB0hgtGo5MhIxLQaq_Ab_uAmg6JU2g7B-EDkGnQDvyWNUVo0M_eqxKo3bwL5xa9_O12EZ7xL2Q
Light#NA1,MASTER,197,_UyCielE_Ky9gZ3pS1N6ibriDI9TAc4w4R0JqgXunaHitLnnbGjVqEnurWUuWlf6lOJ1El2SZ3D3Cg
Doppıo#Boss,MASTER,197,jg0VwjFJl66zcexNaihjjy22a-ixLIZK2rGvmehmSuIJGFYQzYNtiiX0katYeQkn12xdEBJOWNJ_ww
Kurfyou#NA2,MASTER,197,NsqUfegLfH-UMTjy8avSx6rylPpTEjOZV_aFOulc2HQo_SKvmlW-sYbpnH0WDQv-RD1NsrvLXa_zhw
AMT#NA1,MASTER,197,osnNM3udna_lBv2gjM81PnQXxwUk9-TRwTn8atnnnzV77jDCmybCKbMCyDCB72JEejvEFMm8KW6b7g
itsFóx#NA1,MASTER,197,puVQfA4VP_r4hMvKSlhZyzKbxhOk1_QM65TohPP-jtoF14lzrMMo9bUefRxNnB7RpNPoe5ui8JJUzQ
DarKCoS#NA1,MASTER,197,X435CiNnnhFGXTSsM-2QySTUllKqnz8CfiW_omwNDkFNdXaFLBP-Eg10Yml1H3BNnoBZTX8LFmVVFw
JuiceTown#쥬스타운,MASTER,196,eDyZOk9NZPBGNij4P5GNHSPgCiAKCl-lr7X0oAh1I6-p8zHiBoe0mA38pmxn8ErR4liJFzzIU_mowg
AnotherGanker#NA2,MASTER,196,5ElOa4uZAUO73Hko5naSjuTD-KWLAxeKTTlcFlnrvqGoj8o0p9A36eIJb8q3JHfzcFjhpkTPBSUUKQ
Glue Monkey 025#NA1,MASTER,196,CmXbiuUayVbfshC_PqEAdZ7_eu5s3rl2GHGHfd-4W8DIzWQLKpw6euAF7qF789yqk6LiZM0oqNU-Vg
Noah Dillon#HELLP,MASTER,196,oBwcydInLsnXQ5yWG_IIT5vOmuuNKHE94j3wz8tpTG44IQPXpZvMjTbq0t6-5yF8zHU-nJT1TwcmEg
JeffTheLandShark#Rawr,MASTER,196,ky2sq7SUlVr5A6s7zSwT4iDraFoms33YbCSVFJBQJ35kkCad8mDaNV-DNAWDAMBaa43O9Mn2rT2JzQ
frozenlove#ADC,MASTER,195,IInoa81-EAYfxOVQVSzGp5aIm7XEzQulCF_BDepDYo8o_uJ9yJYsOrpxK-0PUsE-wEYVeTvXLquCQg
º ˇˇ º#NA1,MASTER,195,VK_DoOTdSy-CVy4W-z5FtMiqweHu2zcgWZVy1lRpL03CmZe7pvOXtWjcjZXrG7UXQpLr-uwLzfQ-aQ
TwEJEJlol#EJEJ,MASTER,195,pElC5dXeAFDNBJKQqtyYi6rZ4683VO1qn9o1h4Lm3hVSuJNhsQeg-RUjTK1pXGkX1CshD_ouHgkuIg
bigboomer32#NA1,MASTER,195,sUywTbhqzPUnB9P5oWelX-XiYjXyCd7S46SEMm5m3F_EKFnTxEFuYf3xndvXK5DQLyX6P0oBvLpanA
丢雷老牟#567,MASTER,195,6xBETCR6hIkTGH_A22kmE_aGeI4z-fhb6RTVK46_YfK3bjqUGAwg1lBK60m3QS5ZFU5qxCC7XdCaiA
lil groot#NA1,MASTER,195,TUutHrQ4HcjqEa57MjMDrEcomJvjQrj7kOEysR93VAbIi0TxItZdGykvBD0bk5W_z6CPFstdKM8koQ
roaming rammus#NA1,MASTER,194,NWsulGM9tGiip7ZFnrz2OofW90bQYY728NzI2bfvgT0ZByKLgnY8E2IRmhpceprXui-3J5-xfp3aew
ChorionicMean#NA1,MASTER,194,GcIMKzQJnj8Z-15vLdIRYYf1dC43HZtQose8Q1AGCBotpHhKkV_r4ZlSxaiK1XHSrxkFTPHzlZaQIA
thickhunnieshmu#NA1,MASTER,194,zkaG6tXpm_vdFjj2IXq73uxpv5wIl346W7dzwKTmzu6p4V8_fu9U5q_yFr6-u73a9etHyRhTM-vOIQ
Hagalaz#HGNDZ,MASTER,194,YsrftAT1MW1CRjaB-_mDH94FnQ8KYaPZNK0H_bDiX93hWQS6yglqZCUAgZ6qjLTFhQPfs3aIyDmVZg
riri#bliss,MASTER,193,-FRAne-3GYup1SRVCGa3Te_lE3mEV4gEMKZgyMvlAXUSTNRNr2JCsmQXJ9BuykMNsy0kLS18LWDdzQ
JannaMarbles#xoxo,MASTER,192,eYmRyRPZui6OSQNydpZYVyktl-yL9A7rVIfW2JHeDZ0Yq5isxeaMIiiO1sls2RBtKnSWKesD6bHhBA
175#NA1,MASTER,192,5VkKPT8yBindcJsUC6O2SotPcMfM2di8AGkxMV3eCpqQdTmCiJlLygFNh54vbg4rnLxJlWMrzsWfSw
우리집에성언냥이가살고있어요#클로버,MASTER,192,rBWiQF8w4-fJFHv3GP4SI5ltUEUSI0YjU4GDHPmQPOVJNtYxSgny0vSej7HuWKUhxi9wimNFejyPMg
joof#XD69,MASTER,192,oSo0VcnBwPYfigG9iXyYJQ4XEcr6_ehu5OoOqBG084wBCjXTs0hafGyjMiE8-xg3j5erdQBQwcGbzg
Soohie#KR8,MASTER,192,oZeRdyTTjNp5n7KXXLo1SfexSrCKyjBbR1MP7UH9IwUQXS4YoQLTOZwauIUQu9f2QT9wVhlK1OWr-Q
OMOMOWARRIOR99#OMOMO,MASTER,192,6rnweqfXaGKN-Jb-spV4frbgG5FuJxjhroJIEbDQgVfPtw9mg62JCo9YxX4owDRKeUWzn5DE9eoH-Q
Nuri#619,MASTER,192,gWAmf2WZpcgF4Q0t2Z9qQfSld0tnZQ-kZnNEWgzhQnO1rQZ-heUCNx49Sj34YOmhhXFHtgbav65Vvg
M K#NA1,MASTER,191,E0Y6nTnypRVBN6KLGMbtC66XZw7IIi4k8XNGDmj_mFIOX2U6QTfF_apBB3HxmFCesctE0j3rva9-Fg
S10 is not good#NA1,MASTER,191,cVhJnPJS7XEL3refzjx4-Uxl9iqDFoqqwdBkx6tYHEKZLMP5vbChL2b1m1hF9XPTAbcrTiVk5tuykg
Kado#ONU,MASTER,191,PBvKTfJjRrb7WqjDjzslHF2t4d-j9XwXjylU5Lioa9kF2XCTLYKVxuw5aotNGB3Dq395dvrQJSs4Kg
zórø#NA1,MASTER,191,wn0mkOpmyxHQqTxIdzJsKZNifqcmqdchGgjeo-MbgV133vWv2RWfvT0wnEnYR9Kr6OEE5hmOw98tcQ
Dreamcats#0001,MASTER,191,xfcCyM1y190Nvq1_4MAZaGlsBZPazJI3qoRPlBRpx2vstRAaLA3hUyZjVKRVdKPMYCsidt-VW5rOxQ
Jort#NA1,MASTER,190,e4ex850BYK-0NoCpr3EdVaUttCs6uvw76Eg8KdsNLMbIEiDCXdEVRWAPlKs1Zz-BVVkAbGcnJtJvjw
도망치지 마#sora9,MASTER,190,yZkz6qLD8kqk-AHb02iDlwJtyOv_yy5vGAhiejFaHl3aL-dar5EakijZy6ZghvOrFKimSzFTQhExGw
Steve#Range,MASTER,190,YbYQlOnAeqVZp3w6hl2XUaC0Dha1Y31thgG7ZEHV65FsJzUpz9QFEAR3juXqtf3vvWJAH4tpGIl7RQ
Breansonell#NA1,MASTER,190,UZMcl3gN2WzsmWo3Hqvi74PyKPgCMaAvNTp1dLjNb7F4GC_h0O_mgkZat1FpqES_njHtWqqfCld8eQ
Going Normal#NA1,MASTER,189,sInvD9-IVV9Gqwm0VCShdcaqch97rIFRgJcq84gxRdxnfdkyvYy2waq8vwlTBY4BCNfU4pelVHpLwQ
Porchlen#NA1,MASTER,189,m56SgnqeO1x2fpFTFrz2hYIOkPkmD38-s8Q-eiH_QtsYDe-NLL92rU1dXNyHUiU868Sj8-IJT3PvQg
CruelDuckling92#NA1,MASTER,189,o0Vu_KKZ1NSKQwe9I41SW2jAr9nybIvzCpnnlLJ4tGJnhRT6VUEAQ_7V95O2E29LTHH8jIjZCi4ONA
JUGKlNG#GGEZ,MASTER,189,UQ6WeUK_VjGjaeNV8NuZblw1SxxTzAHJEc14kbaHDFRzN0J_mDBqFGO3wiGHbiafD1Cxfb19MTkstg
泡泡糖#果cc,MASTER,189,QDJV_BP42ONysqs7HLpoWQCGutJcdgxDL8eeOC1uX3RLu_t1vZyOQvS2fb1vOy0i0iiDdMFq2sExXA
Tactical0#NA1,MASTER,189,tsyVBmITG2rEN6M7-OXvoOOsMMq2xAi0Bo4eSGc3ivdGTuXhb1aa1Sux_C2Jl0madgW0u-hBeNhqWA
david#rdg1,MASTER,188,uXjKDHinzWJgZf0tsNBkcegTXo1ZO6a3ZgglEVnzA9VBXBYjml5H21B3wcqeWDAoeth9DlsDHBuehw
DOOMSDAY#OGRE,MASTER,188,nLbh54gGIsr8KecEWaeGuP0rQNet_rrOcIqSDKj6rnUWtx-WFRTJOgY8GNPv-y8gtlsisphEPf8Uww
VIEGO#CN01,MASTER,188,2qukLnuqZuuOC5Ecb06w_xXMYKyHrJuxVXfdtvROQzNyeGASt1hDSxNK1UE_zrt1NPuSCk4CctR6rA
PeekAtY0u#NA1,MASTER,188,o4IsSRGUXbOjTsBFWxRgCaBaAP0ZraP11hOvChWWpQoXc-l6G9Hfqf1M1EEzh_4acQ7mFf1R7__04g
Loracia#NA1,MASTER,188,W7sVNSiZzCEiNVy8Woi7XCI2-FdXm5f9zFNgT7bA7frZ1lyqV0J6NmoB6xdKgOeSdHxg3wD7Fy77zA
三藩女同加我好友#DDD,MASTER,188,cYueDsWRg0jE-6_Tdol0z_rbNcXTsXi0OjehBJwtl4d3GABBUwnNvGDNVCmdFJWI8vrnlIJoyHtUDw
McLi#NA1,MASTER,187,Qbd63MYTypde25sOsKrJEkcsSID7s6TIXcMbStIZ-h1EyT-xjc2MeUUyF4OwDTdToMsA8HjwMaFynQ
Lear#umich,MASTER,187,4iFM4Gn8Q-HZFODLUdvSBj3RAnncptMIav6KqJmg6m3_TMO2F6anYb5tlPyyvYlho44nX32gUdG1OA
검둥이#KILL,MASTER,187,58zHse3-uPdFeDpY4zEzDXRqSCBTzvF0iiMA6pgTCJRZ8M8pd-sb1k-8h7vot4Q82fDnDiwkfm_wFQ
Owl#JGDIF,MASTER,187,sA9BXbXwrXL_KHNhTrJWbDe1__pGn03KlUsPVnQx2pr6ANkvs0YnRyoUne5795NCXpRb-cZmz3gnlQ
BfVN Koha #NA1,MASTER,187,pnIgSiXwOnfGkSHRi0CSirhMO3cenw-I-4uI1FGhpnHxD1v-BPZ02jyd6l1W-jFq_V-12RKXV2PBmg
Aeo#cat,MASTER,187,ct5pno4q_LUM7V-HfJqPOncZgoIK2Ov0818DpJTUPcIHdelNG45UXJRTmtBeZH7WlMJdmTScwumK8Q
SkyTec#Keddi,MASTER,187,TD-RyousUd7JyzGds5tthDxRTXMIwQkS2-1Imuq0Obv1zKsJDIDq6EPhL2xra4vMnIlIt9b2kBvHIg
FalteringHope#Justn,MASTER,187,ur4p31qX2qbGOz3HUfAj94c9pViR2sR6ZOXaicWPSuKxaeYPWDSLFcNCTjz72M_5v_0O7J5dXUmGMQ
JOkey#HV1,MASTER,186,qhtM7hBFKWEYzooriliqkvMklSPlE4Sb9kX8kcqkdw3a69_qRkbL34ECL8l9H5Hye9WcDpqD6VJIbQ
T Kage#6923,MASTER,186,D2H6GuFqTOb3b3WlwxkeTugn582dIBIlP-By-6otbwHa5r5UHDfYPdU_S_WOpZ4g45x8kbmC1qbiVw
Nilemars#NA1,MASTER,186,uGUIy5bRBlFTELJ9TxU2pqABFw8lWtwn0s9LLOWaJ3vnHAx9k-Zy_d3iBOS0WKXz5BGECUEXwCDGzA
Crucile 1#NA1,MASTER,186,PhNes-UrvgsRswtwOnJWz_BChXVMUIfEgIDoy34h1zN7326qdToOOoaIt9Vub3FeXcAZ69_OoIMmvw
Bubsyking#NA1,MASTER,186,my0AY0PDwRqi5b1fWBHkuk4qXYuH0ls0bCrDNJQnNirCTdUzA_5aiaBEfnfjiCVKGsac7Ps6HnQNDw
Kerrigann#nyc,MASTER,185,Xif7z1lCX_tbYM5s42sdpiDIejk9uclR5gPUTyQfmHryIKZ074NQWP8YHAlyieI-k3A3jf4AQHQzHA
Somnus#coys,MASTER,185,AnOyIWMLS0EXypAbfVnb6TAKF9b7aNoN8sjMDjo57DJ-WzHjEyRj0SWgCQeiEjW2X7w9zKWnwUyJdw
TVgeneralzilyana#NA1,MASTER,185,yjk6eGmhCJgDLlE8nAPYQXh4i0-jYuXBg02BG2_fyCfoF-Ukw8YlZUp6m9EMVPU0XrC9amEtwaDgkQ
Triumph#Titan,MASTER,185,CbyUspZCel6ihW-t46GMhA39g79XAw_B3PFkWuUALnoMz5r4PD1Eafjas0SCEauTh-rpafezaCDiMA
Ara#CSUN,MASTER,184,jcsl_3gYRklInYCoeoVWwSJtTUf3bYqbneEDsbp4CkL0FCbum3_KBcJLwn1je3sXT-QJRrwrpdqP9A
Udefusi#NA1,MASTER,184,-hQGFBhPpYRqcqFHi2VBVdzZKidupuSK0PFFnpp7X-17L6JGDT35rdcUVUcp8a_o4FtbfgLTLwKeNw
duoqueen1#NA1,MASTER,184,ckn_uYBd1tq8QaHLPyz4wUkth__GDzIa1z3ByAkFm9Rc5ug4acqhxzWgGlTj-QCt09ynL5-b0GpE7A
Never Story#7006,MASTER,183,zsApebW3L2G2tPQ8joP_eMCLej4o32x_dkgtFDlS9J8BozSrdpHKM8MRXMsQzdhRbsm73FfheOg-Qg
Mike Hawk Ismal#PETE,MASTER,183,1gJATf2gzTd-vhgAudPk94H2nfKmdI4ai9RCKxpssbw2-tcGvFo8mWPC1g9P91aTHpP-bCWI9ynIuw
Inuhime#NA1,MASTER,183,dZJ6VFpcp5dHTY6ioY31Mah4ecbt6fjQQyCKBBopaE9nYdEW7fAhXIk9f313P8MeuNWUd2RbZBwnjw
BAESURI#wes,MASTER,182,OlQJIP5Mjl7BvTkH_IgPvm_Z5Qmkl6CjBJzRhyg4NZ9-29louMfg1_j6DbhRK38xNOWq7MZ0g6TZJg
Chucklissa#5659,MASTER,182,_Lrl7aERjqHHgNNJGYJXuR7xGL0vDc1PLK2PigEm4gF4CQ3gQWKNGnWZtho0WSVWTQC3Qq9k6Htv2g
Evidence#NA1,MASTER,182,Tf25_9XrBvgEyqSjtj0FwQXpe4esKG7oOELoP-ukAQcafIJi5T6harpdyu6_QKvvbzle8XfNPZdhQw
Shisue#NA1,MASTER,182,W1d-mQ-VbF0CHlwg24JPocWjgbiZ-0pBOlU4PUi-jcz_5OtZpblZ1Q29JJ5gbXu1RCj3L5zTmjGwQQ
ROUGHCAWK#HARD,MASTER,182,ZO5bDoj1gS7IlU9lS_wxLoLlEKni8CLiaJcMe2VqruukUmYlNjMNOKbvnZXIeL-4OyCuRxv0M9gfeQ
wickedwalnut37#1680,MASTER,182,b_7yzz1xpB7aQ9c1PpguagbzREDv425tkFoBmH2_hwI_v8W95YDQVcIf5Zx9aqrJvgzrR3ZbWe_WPQ
WoodofEphraim#NA1,MASTER,181,HGWwPxCfs7gv6i-sZmI2EjBrLoEc8HgNznkT0MCQk6zaa36ziSZ8R5HcG9OYiZLYg23-rV_NPNIgng
훠궈안맵게먹기장인#0201,MASTER,181,lsLEjlNBDZcIuOIMyO1Xv8nEX9NbcGi6uHG321rtemOz7rR7uHluu6UJMuSFePX4KmXxeoU_QXwjtw
Typ#Neeko,MASTER,181,UmjdHKIIGWY14Q1bUuy85_2c8hqPK1JiQ-1vQj4TBwMennFKxuRoBTd3dDlUQx9KblCxKI6ehDfnIw
えんてぃ#ENTPz,MASTER,181,xbAouj1-aZ8wTWdphbNsxZ6hFvBNGVpGNlseLKJEQYTLgem_pU8ZwFt7kO20SaSwt_cvErrMHIdJHg
Yeongeo#NA1,MASTER,181,0VFUL-Pa-a-yjjvXhd5Cba8rLyZdX_TS_INTtjjGZr_SteUbYLxqGNEgfvhtUOK5q37pgHQ9PI501Q
Tddy#NA1,MASTER,181,Oo2lpDoonGmHU14R3l62waK9X8R43GgJFalBddarRgg26RF2gCaveIlGcbeZh5CkGhQrcsXNZfBa2w
1TKat#Kat,MASTER,180,nazIPfABihd9RpmhKzqtD9jNflfzhqzjZnxNDYFtcbzncX-VMryZU9SNJIZV6bPZVDC2afmkB_NDfg
Flyin High#Ouid,MASTER,180,AJQ61Qz5uBpBHt3UQhSammNn4XnxLsPQeTJvrvO_5SceTaaS0mQ9KIdxuGjdTWSJ9DjhsgWtW1UVAQ
Dooopy#NA1,MASTER,180,WsjGCFgHsCEeXyf9xHlwF0Jcd2H8WUe5EdCgnhiTGMZlzXhckXElosVXL0bQO7EKc0-XekvGnKpPcg
isaac1v9chillacc#NA1,MASTER,180,D1OzsKVTNxuYTA0B2AzZUsx6abhbOEL4BNT9016XehmDatLbr13N9AYfav4T_kAM409Zh2NaPOL5Wg
Poker#RN1,MASTER,180,VdtVLzKGJp208h_DXrTpaPN_Iz5ZKnUqkrY82BCF3qBogVZV3OME5rP3c7t7n-fXAm0pmmU-vP661g
DaPointGuard#SIGMA,MASTER,180,YaRx-r3qaIULjCmv2Tc1Iyo__1RHcSIGopXO4ifpHs_mAxICXcWZWM7oHvGkak7SsVgkMf3pNg3EZQ
Bungo BALLS#BOOM,MASTER,180,hvaCoQWcxClNQlBfstYtfh0D-FYylbTfIM_hyl2yUFIhk0fsf9kqYuPCWvXhCMmt6IVoijbGcdF-2g
Leona Del Rey#NFR,MASTER,180,q3sJV9EgiRtpePNLgIgSn-QmRY4ExjKnzq0oft_POoWCkXzYSI_oZjXd8EtfBgcS69mijyXIgiEk6Q
Cair Andros#NA1,MASTER,180,dC-xf-o2PUCQaq0ZeItwErlu7LWuuBJyIHLj6efsS5imA5RNyClwUPcfsIwiO3DR_OuSG52-t4RmcQ
sad and bad1#uwu,MASTER,180,HKUwRhnB7SCt68GxQoqDD5lxELsHj_dK-trrPMGH7yNLjzWjCQ0V3yALHsOSL2Uw14qIo4Qo0sj7Ng
River#NA2,MASTER,180,k4jorC9GrT-7k-Zph1wZjW8EMa1m7meX-h5zdpbW20knFqcNZ08zZI78uC4xxbNTpFmrzlriCKUwnA
재 훈#서 폿,MASTER,179,mltJOWPin9_-OTcLFntkahvbiCrCDU1Il-UOqMNAL2AUN7Z_7kumzGVQ8zgIoXHThJ6vFMgNE_4paQ
BogsFrog#NA1,MASTER,179,KkmZrJ-gpjJpBtDRIPvuJ1eMEh_oSmU8ed-Uyyl23WR83hpJwhGuLGbFlIh8hNMTen8aMXCNLd6RSA
turip ip  ip ip#NA1,MASTER,179,9-jG5oUQOV_1ldwY25dOJ4BW9KWSdNI-68yHrGpwmlgTZSDOgXuXYBMfoSvyufvUXf6F6IEo-5H-lw
Busio3#NA1,MASTER,179,e8ZPV6WVdf0UONKzjNmA8lmIu67SCZBB99W8Re1Zv0Zkft_Oa9S_Ltswgme7EqvRiwQb0MdS0-Q__A
Ostrich ruinedme#0000,MASTER,178,_WJFyZbxjwdgI9CqCVWYyjHtSfCgllbMkgF6wcqSL8Ewe6skU3gtV5pnudOMrmTerofqA-fWXS-qBA
mintmintmint#MINTT,MASTER,178,uOO3szxtLkxsNgQJzT8OG8ah1YH1B7iZGzfbWMBEiEePq1y51Q8z2Ong_4bESYpyhTfpiNahLI_VIQ
pimpi#biri,MASTER,178,qkI_7D6SUm73_Px1dzI_7rgSMQ2uk6NfC1qu5s2Lpus3ZrpYpCwu1_0duwt96QZ2qGmziPPl-vCrnA
Metikus#NA1,MASTER,177,bi0nACDh7f8DIcORLkM8fUF5h_cMhlRf-YpCptE9eea-NupUolfHtjMSRihUKUIe2ag2oY2zqcgaxg
teanivia#PCS,MASTER,177,Xd4i34Sv8AKGlx0PZQbsxxBRtjslQ-zAI_iKdkcLEzf2XZiaCBctiHyLZ6-ZuA2Ki37IbRFxpWZ2LQ
ZionSpartan#55555,MASTER,176,7ujHpuKtxRGTTgAiRQFZl1FoPx_C6JJgCCSNYCMCtz23y_jDTiqR8UiauTcqTuNZQIuNR1Fvb5pYyA
Darcy#xoxo,MASTER,176,B_Zx8v1G8JQxGYVPM6U6S3s7NMZW5JQwfKdGlywvecffM1Mq2XQ_9SWI-xDhTBFi40pX2bQ7WwmfRQ
LihLushen#NA1,MASTER,176,kQxjCItnxW9r1gtPPQrZxaDS3qoMg8Berm_vtYfWsT-pgP2mJfFPqIMA2AdtbdWy_ZkEq88GftFKZA
