Tier,Division,Player ID
DIAMOND,I,2m3LFRh7fPl3-KXHc8nz9z8okxqaMMa9GKHJxNrfDT2MsMqAAghe-a0iERho3wjaDQ3_79Zz1Ckmfg
DIAMOND,I,BdFXhbRKZFCTC6oToGgKCS6IORSn3NBm3FWm2aTRZYHeGsuJDavOtnGKSbeaVstYDvkETKncVjGoKA
DIAMOND,I,SBTG5CK0BUghUrACKwcSFV6wpUF6rTVa63ff50fmBtEZYcckkCWRvMnmzQkMg2NW_D1Hgk5Fa9r2lA
DIAMOND,I,dMpFXi6Bj3tkuMqcHMJ8qfx9qYxxbYGnGj_LfHb9zZE4XsSw09TJiNjM-18YkasBcD8OuNubH-k4Sg
DIAMOND,I,hDxlwVwSGa7gY4zEwAsziAvw7gLhO_AM_7miovPQZFQElhwYrjV9dCRHZL4rcebMthueUUyRM5-BdQ
DIAMOND,I,-C-VMTlmoYlXDgfpkUMGzvx-fTCxIA4pPnEnminQGD4Kkoh-JFlbIa3wr-xQKQBWnZC11KbSKjJ60g
DIAMOND,I,L8JpkLuDFdjbeaD-W2ZCKzNj8F6LO7tD7bsREgjJ90U0PPwVJ3IGtQ5-NDn8bd04BSWfI2jI9hdCnA
DIAMOND,I,othmtiFB5ofH82twET_YOCVpjfpcWusG9IahMCSA5Wh5Pymak_2ApLiCMLydZycWzNncwlpXLORk8A
DIAMOND,I,szBdAAAMtX7Ji9k5XeSQrB7OMAtEm4FurDnyTDxi5IcFQ_J_YNUleayMGWSMRwXX-Q9SRISeydBuew
DIAMOND,I,e5QBzbQg0lR0DvomX8S6aXxaPXOJDuA1dN5yUJH81w20AC8Xd_SmuaxM2Sb_HY2kQ7diF6YN4AwdwQ
DIAMOND,I,hqqyT4q0VEpQDVeLDwpbe31vwWmHOtDrqGPJg8XWqDpKQJ7SXa1qHUd2ramPvYJ4lJRHaV_LX1bEVA
DIAMOND,I,p0KQAl7uE6bxBbdOC-BxWIbfeEY8CdH4fMf8sxN-pMoxp6YM-Cj_eDy-Bk-6JocWYR5NvBboaqaQpA
DIAMOND,I,i_XmOnEKiGCl2uzcM8hh1mh7vE5pgQBvIgdyByowwnnr_6A2UDuxfEA_fp4HmvQladIfE3iXQgJ2fw
DIAMOND,I,P8nVVvvyugHYIVDjigisBjWZaRo8sqDBCvML9pcKGKyugAJSKLH7nZnrJI_t-ImApgra1UAEntOliw
DIAMOND,I,JmPevhxcmFLuxJqNG5ltpWgmQok9MQpKGWckBny8OOaeU8vIhCXMmL8qttz9fWWuMhPeTSdQ8NPjNg
DIAMOND,I,FmfncLNIPVrEDK43upRBOMKqUt-XwEQ_BJxNmDHw_Aa4M64ocxbWYSG6YsK3GqKKETPVO2Cux9GeJQ
DIAMOND,I,dnUbARHYtG9Q_ojGAL8nPHICJU06yIk7f0B3bv8ejD9WQAtO7TgnGVztn3nbFEzRNv3p38rScfPUHQ
DIAMOND,I,VHafXOm9ULeVWGgzaBXkUeDzCDugYBQRGuhMW7B2Sv2f50GZxrWQ_GAJf9M-Dbqfprhd7R98ze_rJw
DIAMOND,I,rCn8McgUu9YITF5roBwVsHFm4lb0jnEfey9OJ5slnbefsaja46aEF7xtgrwCyXA4Q9SzuvqhJVwY5w
DIAMOND,I,5wx8tgNCKT9a3b6djxo0wsCJsposTsyUYou4HA7I_ccJry4rNwHWRlbLTq9Wz0dBVtZh6dOGhSAT9g
DIAMOND,I,6C89fzoqZpyTN7dHKQuIHIIzzXyXxmsGhWIdWeSZP6lncF9E7_pIJKmC2Tk9EAlXuQC_dP8nDrYxQw
DIAMOND,I,mT4hh9X728Pn7o0FxsMF18Pjhn5wZNaOAuuIpASR19es-GL01QCvkqKh_isSKNrJavB3C_uE7EKfMQ
DIAMOND,I,54A__dpmm0pbT7miBJHhzS49Z1tCL6SXXvM78NEkTgXf4Szyb5-7S8yO6Bj7e-sekoNBm6myLzZvBg
DIAMOND,I,oI5wu2niuYMfNDN_0L7y3pFPgYF7IQiFc4ppG9JPTU5NbSO-GkWCLOBebgOPFntXC4fYFcQFwaiLtg
DIAMOND,I,6CD0G0WADhvwXkTaPP6A-zYLMn0lO8g8_Bqpbbki4AoEWQfa-839o2C3ibg9qq872f6aJrnJUFsI0w
DIAMOND,I,5n-Tk5quOCDZQPo_TUEihdfJntz33VC85LlVndNbhjKJO5B5BmZNlVc2xRxZBAb4b9vbJeVVb-VhMg
DIAMOND,I,L_v9MAyoeJC2rJYQAgNYVV4EAV144nstyxbNpNuTsEyP3cRxxRLZxy-KpEsJLi7Fz1LKIsOkvozDkw
DIAMOND,I,RQfEPlhFTYewD8RTs2MtJo4Mg6NzT51R1lKTZdM_tn-tjsDLwEpTkt9bJXyAFnI4ohMW4AENh9cVeA
